Datetime, Temp, K_int, tenzo, level, oporn_level, quotes, rain 
2023-03-21 14:33:06,15.00,267,830880,828704,828695,3,0.0
2023-03-21 14:33:12,14.98,259,830879,828705,828695,3,0.0
2023-03-21 14:33:17,14.96,231,830879,828706,828695,3,0.0
2023-03-21 14:33:23,14.95,224,830879,828707,828695,3,0.0
2023-03-21 14:33:29,14.95,256,830877,828707,828695,3,0.0
2023-03-21 14:33:35,14.93,249,830878,828708,828695,3,0.0
2023-03-21 14:33:41,14.91,221,830879,828709,828695,3,0.0
2023-03-21 14:33:47,14.88,173,830875,828710,828695,3,0.0
2023-03-21 14:33:53,14.90,268,830875,828711,828695,3,0.0
2023-03-21 14:33:58,14.88,240,830876,828713,828695,3,0.0
2023-03-21 14:34:04,14.87,252,830872,828713,828696,3,0.0
2023-03-21 14:34:10,14.87,283,830871,828714,828696,3,0.0
2023-03-21 14:34:16,14.84,256,830868,828715,828696,3,0.0
2023-03-21 14:34:22,14.85,305,830865,828715,828696,3,0.0
2023-03-21 14:34:28,14.82,258,830870,828716,828696,3,0.0
2023-03-21 14:34:34,14.81,270,830871,828717,828696,3,0.0
2023-03-21 14:34:39,14.79,242,830854,828717,828696,3,0.0
2023-03-21 14:34:45,14.77,235,830850,828717,828696,3,0.0
2023-03-21 14:34:51,14.77,267,830860,828718,828696,3,0.0
2023-03-21 14:34:57,14.77,278,830856,828718,828696,3,0.0
2023-03-21 14:35:03,14.76,289,830846,828718,828696,3,0.0
2023-03-21 14:35:09,14.73,261,830848,828718,828696,3,0.0
2023-03-21 14:35:14,14.72,253,830841,828718,828696,3,0.0
2023-03-21 14:35:20,14.72,284,830800,828715,828696,3,0.0
2023-03-21 14:35:26,14.70,276,830820,828714,828696,3,0.0
2023-03-21 14:35:32,14.70,305,830868,828715,828696,3,0.0
2023-03-21 14:35:38,14.69,296,830863,828716,828696,3,0.0
2023-03-21 14:35:44,14.66,269,830862,828717,828696,3,0.0
2023-03-21 14:35:50,14.68,335,830853,828718,828696,3,0.0
2023-03-21 14:35:55,14.66,308,830849,828718,828696,3,0.0
2023-03-21 14:36:01,14.63,280,830858,828719,828696,3,0.0
2023-03-21 14:36:07,14.63,291,830856,828720,828696,3,0.0
2023-03-21 14:36:13,14.61,282,830853,828720,828696,3,0.0
2023-03-21 14:36:19,14.61,311,830855,828721,828696,3,0.0
2023-03-21 14:36:25,14.59,284,830860,828723,828696,3,0.0
2023-03-21 14:36:30,14.59,313,830856,828723,828696,3,0.0
2023-03-21 14:36:36,14.58,322,830854,828725,828696,3,0.0
2023-03-21 14:36:42,14.56,313,830856,828727,828696,3,0.0
2023-03-21 14:36:48,14.56,341,830852,828728,828696,3,0.0
2023-03-21 14:36:54,14.54,313,830851,828729,828696,3,0.0
2023-03-21 14:37:00,14.52,304,830852,828731,828696,3,0.0
2023-03-21 14:37:06,14.51,295,830852,828733,828696,3,0.0
2023-03-21 14:37:11,14.52,342,830849,828735,828735,0,0.1
2023-03-21 14:37:17,14.50,332,830848,828739,828735,0,0.1
2023-03-21 14:37:23,14.49,341,830850,828742,828735,0,0.1
2023-03-21 14:37:29,14.48,349,830850,828742,828735,0,0.1
2023-03-21 14:37:35,14.46,322,830848,828743,828735,0,0.1
2023-03-21 14:37:41,14.45,331,830847,828744,828735,0,0.1
2023-03-21 14:37:47,14.45,340,830846,828745,828735,0,0.1
2023-03-21 14:37:52,14.42,312,830845,828747,828735,0,0.1
2023-03-21 14:37:58,14.42,339,830845,828748,828735,0,0.1
2023-03-21 14:38:04,14.41,330,830846,828749,828735,0,0.1
2023-03-21 14:38:10,14.38,302,830844,828750,828735,0,0.1
2023-03-21 14:38:16,14.38,312,830842,828751,828735,0,0.1
2023-03-21 14:38:22,14.39,375,830840,828751,828735,0,0.1
2023-03-21 14:38:27,14.38,382,830840,828752,828735,0,0.1
2023-03-21 14:38:33,14.35,336,830840,828753,828735,0,0.1
2023-03-21 14:38:39,14.34,345,830838,828753,828735,0,0.1
2023-03-21 14:38:45,14.32,317,830837,828754,828735,0,0.1
2023-03-21 14:38:51,14.34,379,830839,828755,828735,0,0.1
2023-03-21 14:38:57,14.32,369,830837,828756,828735,0,0.1
2023-03-21 14:39:03,14.30,342,830838,828756,828735,0,0.1
2023-03-21 14:39:08,14.29,350,830837,828757,828735,0,0.1
2023-03-21 14:39:14,14.27,322,830837,828758,828735,0,0.1
2023-03-21 14:39:20,14.27,367,830838,828759,828735,0,0.1
2023-03-21 14:39:26,14.25,339,830837,828760,828735,0,0.1
2023-03-21 14:39:32,14.25,365,830837,828761,828735,0,0.1
2023-03-21 14:39:38,14.23,337,830836,828762,828735,0,0.1
2023-03-21 14:39:43,14.22,346,830833,828763,828735,0,0.1
2023-03-21 14:39:49,14.22,371,830832,828764,828735,0,0.1
2023-03-21 14:39:55,14.20,361,830834,828765,828735,0,0.1
2023-03-21 14:40:01,14.23,435,830835,828766,828735,0,0.1
2023-03-21 14:40:07,14.20,391,830832,828766,828735,0,0.1
2023-03-21 14:40:13,14.17,364,830828,828767,828735,0,0.1
2023-03-21 14:40:19,14.17,388,830828,828768,828735,0,0.1
2023-03-21 14:40:24,14.15,361,830831,828769,828735,0,0.1
2023-03-21 14:40:30,14.14,369,830831,828770,828735,0,0.1
2023-03-21 14:40:36,14.11,323,830830,828771,828735,0,0.1
2023-03-21 14:40:42,14.13,384,830829,828772,828735,0,0.1
