Datetime, Temp, K_int, tenzo, level, oporn_level, quotes, rain 
2023-03-22 00:00:06,5.91,795,829997,829119,829122,0,0.3
2023-03-22 00:00:12,5.91,794,829998,829119,829122,0,0.3
2023-03-22 00:00:18,5.91,796,829997,829119,829122,0,0.3
2023-03-22 00:00:24,5.91,794,829994,829119,829122,0,0.3
2023-03-22 00:00:30,5.93,799,829994,829119,829122,0,0.3
2023-03-22 00:00:36,5.95,799,829994,829119,829122,0,0.3
2023-03-22 00:00:41,5.93,799,829993,829119,829122,0,0.3
2023-03-22 00:00:47,5.91,795,829993,829119,829122,0,0.3
2023-03-22 00:00:53,5.89,791,829994,829119,829122,0,0.3
2023-03-22 00:00:59,5.91,797,829994,829119,829122,0,0.3
2023-03-22 00:01:05,5.91,797,829993,829119,829122,0,0.3
2023-03-22 00:01:11,5.90,794,829992,829119,829122,0,0.3
2023-03-22 00:01:17,5.91,796,829993,829119,829122,0,0.3
2023-03-22 00:01:22,5.93,799,829993,829119,829122,0,0.3
2023-03-22 00:01:28,5.93,799,829992,829119,829122,0,0.3
2023-03-22 00:01:34,5.90,795,829992,829119,829122,0,0.3
2023-03-22 00:01:40,5.91,798,829993,829119,829122,0,0.3
2023-03-22 00:01:46,5.91,797,829992,829119,829122,0,0.3
2023-03-22 00:01:52,5.91,798,829992,829118,829122,0,0.3
2023-03-22 00:01:57,5.90,796,829994,829118,829122,0,0.3
2023-03-22 00:02:03,5.90,796,829993,829118,829122,0,0.3
2023-03-22 00:02:09,5.90,796,829990,829118,829122,0,0.3
2023-03-22 00:02:15,5.91,799,829991,829118,829122,0,0.3
2023-03-22 00:02:21,5.91,799,829990,829118,829122,0,0.3
2023-03-22 00:02:27,5.90,796,829989,829118,829122,0,0.3
2023-03-22 00:02:33,5.91,798,829985,829117,829122,0,0.3
2023-03-22 00:02:38,5.91,798,829983,829117,829122,0,0.3
2023-03-22 00:02:44,5.90,797,829984,829117,829122,0,0.3
2023-03-22 00:02:50,5.90,797,829983,829116,829122,0,0.3
2023-03-22 00:02:56,5.89,796,829981,829116,829122,0,0.3
2023-03-22 00:03:02,5.89,796,829981,829115,829122,0,0.3
2023-03-22 00:03:08,5.90,797,829982,829115,829122,0,0.3
2023-03-22 00:03:13,5.89,796,829984,829114,829122,0,0.3
2023-03-22 00:03:19,5.88,793,829983,829114,829122,0,0.3
2023-03-22 00:03:25,5.89,797,829980,829114,829122,0,0.3
2023-03-22 00:03:31,5.88,793,829983,829113,829122,0,0.3
2023-03-22 00:03:37,5.87,792,829985,829113,829122,0,0.3
2023-03-22 00:03:43,5.89,797,829982,829113,829122,0,0.3
2023-03-22 00:03:49,5.88,796,829981,829112,829122,0,0.3
2023-03-22 00:03:54,5.88,796,829982,829112,829122,0,0.3
2023-03-22 00:04:00,5.89,798,829982,829112,829122,0,0.3
2023-03-22 00:04:06,5.88,795,829981,829111,829122,0,0.3
2023-03-22 00:04:12,5.89,798,829981,829111,829122,0,0.3
2023-03-22 00:04:18,5.89,798,829982,829111,829122,0,0.3
2023-03-22 00:04:24,5.88,797,829982,829110,829122,0,0.3
2023-03-22 00:04:30,5.91,799,829981,829110,829122,0,0.3
2023-03-22 00:04:35,5.88,797,829980,829110,829122,0,0.3
2023-03-22 00:04:41,5.88,797,829975,829110,829122,0,0.3
2023-03-22 00:04:47,5.88,797,829973,829109,829122,0,0.3
2023-03-22 00:04:53,5.88,796,829975,829109,829122,0,0.3
2023-03-22 00:04:59,5.88,798,829974,829109,829122,0,0.3
2023-03-22 00:05:05,5.89,799,829976,829109,829122,0,0.3
2023-03-22 00:05:10,5.88,797,829978,829109,829122,0,0.3
2023-03-22 00:05:16,5.86,793,829977,829108,829122,0,0.3
2023-03-22 00:05:22,5.88,797,829975,829108,829122,0,0.3
2023-03-22 00:05:28,5.88,798,829976,829108,829122,0,0.3
2023-03-22 00:05:34,5.87,796,829976,829108,829122,0,0.3
2023-03-22 00:05:40,5.89,799,829974,829107,829122,0,0.3
2023-03-22 00:05:46,5.88,797,829972,829107,829122,0,0.3
2023-03-22 00:05:51,5.88,798,829973,829107,829122,0,0.3
2023-03-22 00:05:57,5.88,799,829973,829106,829122,0,0.3
2023-03-22 00:06:03,5.87,796,829971,829106,829122,0,0.3
2023-03-22 00:06:09,5.88,799,829969,829106,829122,0,0.3
2023-03-22 00:06:15,5.86,795,829971,829105,829122,0,0.3
2023-03-22 00:06:21,5.87,797,829973,829105,829122,0,0.3
2023-03-22 00:06:26,5.88,798,829971,829104,829122,0,0.3
2023-03-22 00:06:32,5.88,798,829970,829104,829122,0,0.3
2023-03-22 00:06:38,5.88,798,829969,829104,829122,0,0.3
2023-03-22 00:06:44,5.87,797,829970,829104,829122,0,0.3
2023-03-22 00:06:50,5.87,797,829970,829104,829121,0,0.3
2023-03-22 00:06:56,5.87,798,829969,829103,829121,0,0.3
