OWENArchiver
Дата;Время;weight;с_weight;tenzo_h;tenzo_l;temp;temp_top
2023-02-04;00:00:02;3360;3113;5;61828;65486;1550
2023-02-04;00:00:07;3378;2986;5;63932;65485;1550
2023-02-04;00:00:12;3378;2986;5;63932;65486;1550
2023-02-04;00:00:17;3456;2949;6;7164;65486;1550
2023-02-04;00:00:22;3540;2919;6;16668;65486;1550
2023-02-04;00:00:27;3650;2741;6;29243;65487;1550
2023-02-04;00:00:32;3772;2858;6;43048;65487;1550
2023-02-04;00:00:37;3901;3085;6;57638;65488;1550
2023-02-04;00:00:42;4002;3131;7;3564;65487;1550
2023-02-04;00:00:47;4002;3131;7;3564;65488;1550
2023-02-04;00:00:52;3573;3161;6;20496;65489;1550
2023-02-04;00:00:57;3573;3226;6;20422;65489;1550
2023-02-04;00:01:02;3580;3318;6;21288;65489;1550
2023-02-04;00:01:07;3633;3373;6;27265;65490;1550
2023-02-04;00:01:12;3724;3391;6;37578;65490;1550
2023-02-04;00:01:17;3775;3469;6;43319;65490;1550
2023-02-04;00:01:22;3775;3469;6;43319;65491;1550
2023-02-04;00:01:27;3860;3553;6;52982;65492;1550
2023-02-04;00:01:32;3964;3663;6;64769;65492;1550
2023-02-04;00:01:37;4022;3784;7;5868;65493;1550
2023-02-04;00:01:42;4150;3913;7;20354;65492;1550
2023-02-04;00:01:47;4348;4014;7;42856;65492;1550
2023-02-04;00:01:52;4532;3585;7;63664;65494;1550
2023-02-04;00:01:57;4532;3585;7;63664;65494;1550
2023-02-04;00:02:02;4769;3585;8;24966;65495;1550
2023-02-04;00:02:07;4948;3592;8;45341;65495;1550
2023-02-04;00:02:12;5103;3645;8;62864;65495;1550
2023-02-04;00:02:17;5235;3736;9;12271;65495;1550
2023-02-04;00:02:22;5423;3787;9;33633;65495;1550
2023-02-04;00:02:27;5603;3872;9;54103;65495;1543
2023-02-04;00:02:32;5603;3872;9;54103;65496;1550
2023-02-04;00:02:37;5748;3975;10;4950;65496;1550
2023-02-04;00:02:42;5862;4033;10;17945;65497;1550
2023-02-04;00:02:47;6047;4161;10;38906;65497;1550
2023-02-04;00:02:52;6324;4359;11;4759;65497;1550
2023-02-04;00:02:57;6592;4543;11;35115;65498;1550
2023-02-04;00:03:02;6877;4780;12;1966;65499;1550
2023-02-04;00:03:07;6877;4780;12;1966;65499;1550
2023-02-04;00:03:12;7045;4959;12;20952;65499;1550
2023-02-04;00:03:17;7188;5114;12;37217;65499;1550
2023-02-04;00:03:22;7285;5246;12;48169;65499;1550
2023-02-04;00:03:27;7412;5433;12;62632;65499;1550
2023-02-04;00:03:32;7551;5613;13;12833;65499;1550
2023-02-04;00:03:37;7551;5613;13;12833;65500;1550
2023-02-04;00:03:42;7657;5758;13;24866;65500;1550
2023-02-04;00:03:47;7759;5872;13;36348;65500;1550
2023-02-04;00:03:52;7894;6057;13;51733;65501;1550
2023-02-04;00:03:57;8017;6334;14;138;65501;1550
2023-02-04;00:04:02;8129;6602;14;12846;65502;1550
2023-02-04;00:04:07;8208;6887;14;21738;65502;1550
2023-02-04;00:04:12;8208;6887;14;21738;65502;1550
2023-02-04;00:04:17;8293;7055;14;31402;65502;1550
2023-02-04;00:04:22;8409;7198;14;44591;65502;1550
2023-02-04;00:04:27;8476;7294;14;52122;65503;1550
2023-02-04;00:04:32;8590;7421;14;65124;65503;1550
2023-02-04;00:04:37;8733;7560;15;15830;65503;1550
2023-02-04;00:04:42;8890;7666;15;33546;65504;1550
2023-02-04;00:04:47;8890;7666;15;33546;65505;1550
2023-02-04;00:04:52;9004;7768;15;46462;65505;1550
2023-02-04;00:04:57;9142;7903;15;62146;65505;1550
2023-02-04;00:05:02;9235;8026;16;7222;65505;1550
2023-02-04;00:05:07;9322;8138;16;16983;65506;1550
2023-02-04;00:05:12;9446;8217;16;31072;65506;1550
2023-02-04;00:05:17;9548;8302;16;42666;65506;1550
2023-02-04;00:05:22;9548;8302;16;42666;65506;1550
2023-02-04;00:05:27;9575;8417;16;45707;65507;1550
2023-02-04;00:05:32;9674;8484;16;56930;65508;1550
2023-02-04;00:05:37;9915;8598;17;18762;65508;1550
2023-02-04;00:05:42;10107;8741;17;40487;65508;1550
2023-02-04;00:05:47;10233;8898;17;54854;65508;1550
2023-02-04;00:05:52;10312;9012;17;63733;65508;1550
2023-02-04;00:05:57;10312;9012;17;63733;65508;1550
